text, corrected
im asking uuu, I am asking you
asking you, I am asking you
asking u, I am asking you
askin u, I am asking you
askin you, I am asking you
askinn iu, I am asking you
you will have to, You will have to
youll have to, You will have to
you'll have to, You will have to
u will have to, You will have to
u'll have to, You will have to
ull have to, You will have to
how about, how about
hw, how
wht about, what about
wttt about, what about
wt abut, what about
would you mind, would you mind
would u mind, would you mind
would u min, would you mind
d u min, would you mind
could you, could you
can you, can you
could I, could I
coudl I, could I
